S1PR1	UniProtKB:P21453	Sphingosine 1-phosphate receptor 1
CD302	UniProtKB:Q8IX05	CD302 antigen
SCUBE3	UniProtKB:Q8IX30	Signal peptide, CUB and EGF-like domain-containing protein 3
SCUBE3	UniProtKB:Q8IX30	Signal peptide, CUB and EGF-like domain-containing protein 3
SCUBE3	UniProtKB:Q8IX30	Signal peptide, CUB and EGF-like domain-containing protein 3
FCRLA	UniProtKB:Q7L513	Fc receptor-like A
HSPA8	UniProtKB:P11142	Heat shock cognate 71 kDa protein
A0A0G2JPB7	UniProtKB:A0A0G2JPB7	BTNL2
KCNJ3	UniProtKB:P48549	G protein-activated inward rectifier potassium channel 1
HLA-DMA	UniProtKB:P28067	HLA class II histocompatibility antigen, DM alpha chain
PECAM1	UniProtKB:P16284	Platelet endothelial cell adhesion molecule
CD151	UniProtKB:P48509	CD151 antigen
TRGV4	UniProtKB:A0A0C4DH28	T cell receptor gamma variable 4
TRGV8	UniProtKB:A0A0C4DH27	T cell receptor gamma variable 8
TIRAP	UniProtKB:P58753	Toll/interleukin-1 receptor domain-containing adapter protein
HSPA5	UniProtKB:P11021	Endoplasmic reticulum chaperone BiP
CCRL2	UniProtKB:O00421	C-C chemokine receptor-like 2
SLITRK3	UniProtKB:O94933	SLIT and NTRK-like protein 3
FCGR2C	UniProtKB:P31995	Low affinity immunoglobulin gamma Fc region receptor II-c
FCGR2B	UniProtKB:P31994	Low affinity immunoglobulin gamma Fc region receptor II-b
FCGR2B	UniProtKB:P31994	Low affinity immunoglobulin gamma Fc region receptor II-b
PSG1	UniProtKB:P11464	Pregnancy-specific beta-1-glycoprotein 1
TGFB1	UniProtKB:P01137	Transforming growth factor beta-1 proprotein
TGFA	UniProtKB:P01135	Protransforming growth factor alpha
LDLR	UniProtKB:P01130	Low-density lipoprotein receptor
LDLR	UniProtKB:P01130	Low-density lipoprotein receptor
LDLR	UniProtKB:P01130	Low-density lipoprotein receptor
PDGFB	UniProtKB:P01127	Platelet-derived growth factor subunit B
PDGFB	UniProtKB:P01127	Platelet-derived growth factor subunit B
PDGFB	UniProtKB:P01127	Platelet-derived growth factor subunit B
PDGFB	UniProtKB:P01127	Platelet-derived growth factor subunit B
